Order ID,Review,Sentiment Score
189440,The delivery team handled the product with care.,0.0
187385,Had slight delays but the product was in good shape.,0.26666666666666666
181844,Waste of Money.,-0.2
122470,Lack of delivery delays is greatly appreciated.,0.2
199680,The product had an underwhelming design.,0.0
130929,Premium quality as usual.,-0.25
164427,Not as expected.,-0.1
176280,Great design is one of the major positives of this product.,0.43125
196659,The product was delivered quickly.,0.3333333333333333
146245,There is clear evidence of subpar detailing.,0.09999999999999999
138790,Average product,-0.15
170025,Exquisite craftsmanship here is absolutely appreciated.,0.6
168520,"Unfortunately, the delivery was late.",-0.4
182299,The Product exhibits good design.,0.7
165196,The product is not as advertised.,0.0
131552,The product was affordable here compared to other brands.,-0.125
138795,Never buying from here again.,0.0
188192,The promotion quality does not match the product,0.0
184678,Discount deals was greatly appreciated.,0.2
163054,Careless handling by the delivery team.,-0.5
155281,Incredible detailing was clearly evident.,0.575
183087,The product had poor quality.,-0.4
185910,The product had excellent quality.,1.0
120961,The handling was questionable but incurred only minute damages.,-0.25
193605,Low quality products are a usual here these days.,-0.125
130779,Expected much better,0.2
169331,It was ok.,0.5
155300,Clear delays in delivery.,0.09999999999999999
160595,Nothing too special.,0.35714285714285715
